schema,table,policies_total,permissive_authenticated,auth_only,role_scoped,batch,target_rule,helpers,depends_on,notes
public,historico_salarial,4,4,0,0,D,dp + gm,"has_role,current_is_gm",SEC-001.k;SEC-002.helpers-01,todas as politicas atuais sao USING(true) permissive
public,horas_extras,4,4,0,0,D,dp + gm; owner colaborador leitura opcional,"has_role,current_is_gm",SEC-001.k;SEC-002.helpers-01,todas as politicas atuais sao USING(true) permissive
public,itens_medicao,4,4,0,0,C,obra scope,"user_in_obra,has_role",SEC-001.k;SEC-002.helpers-01,todas as politicas atuais sao USING(true) permissive
public,licoes_aprendidas,4,4,0,0,C,obra scope; leitura empresa,"user_in_obra,user_in_empresa",SEC-001.k;SEC-002.helpers-01,todas as politicas atuais sao USING(true) permissive
public,medicoes,4,4,0,0,C,obra scope,"user_in_obra,has_role",SEC-001.k;SEC-002.helpers-01,todas as politicas atuais sao USING(true) permissive
public,mobilizacoes_periodos,4,4,0,0,C,obra scope,"user_in_obra,has_role",SEC-001.k;SEC-002.helpers-01,todas as politicas atuais sao USING(true) permissive
public,mobilizacoes_veiculos,4,4,0,0,C,obra scope + frota,"user_in_obra,has_role",SEC-001.k;SEC-002.helpers-01,todas as politicas atuais sao USING(true) permissive
public,notas_fiscais,4,4,0,0,D,financeiro + gm,"has_role,current_is_gm",SEC-001.k;SEC-002.helpers-01,todas as politicas atuais sao USING(true) permissive
public,notificacoes,3,3,0,0,B,owner destinatario; escrita service_role/gm,"auth.uid,current_is_gm",SEC-001.k,todas as politicas atuais sao USING(true) permissive
public,obra_membros,4,0,0,3,C,membros da obra + gm (ja parcial),"current_is_gm,user_in_obra",SEC-001.k;SEC-002.helpers-01,
public,obras,4,4,0,0,C,empresa scope; escrita gm/obras,"user_in_empresa,has_role",SEC-001.k;SEC-002.helpers-01,todas as politicas atuais sao USING(true) permissive
public,ocorrencias,4,4,0,0,C,obra scope,"user_in_obra,has_role",SEC-001.k;SEC-002.helpers-01,todas as politicas atuais sao USING(true) permissive
public,patrimonios,4,4,0,0,C,empresa scope; escrita patrimonio,"user_in_empresa,has_role",SEC-001.k;SEC-002.helpers-01,todas as politicas atuais sao USING(true) permissive
public,plano_contas,4,4,0,0,B,registry: leitura authenticated; escrita gm/financeiro,"current_is_gm,has_role",SEC-001.k;SEC-002.helpers-01,todas as politicas atuais sao USING(true) permissive
public,players,4,4,0,0,B,owner self-read; escrita gm/admin,"auth.uid,current_is_gm",SEC-001.k,todas as politicas atuais sao USING(true) permissive
public,profiles,2,1,0,0,B,owner self; escrita gm/admin,"auth.uid,current_is_gm",SEC-001.k,
public,provisoes,4,4,0,0,D,dp + gm,"has_role,current_is_gm",SEC-001.k;SEC-002.helpers-01,todas as politicas atuais sao USING(true) permissive
public,recebimentos,4,4,0,0,D,financeiro + gm,"has_role,current_is_gm",SEC-001.k;SEC-002.helpers-01,todas as politicas atuais sao USING(true) permissive
public,responsabilidades_patrimonios,4,4,0,0,C,empresa+obra scope,"user_in_empresa,user_in_obra",SEC-001.k;SEC-002.helpers-01,todas as politicas atuais sao USING(true) permissive
public,riscos,4,4,0,0,C,obra scope,"user_in_obra,has_role",SEC-001.k;SEC-002.helpers-01,todas as politicas atuais sao USING(true) permissive
public,solicitacao_comentarios,4,4,0,0,C,autor+aprovadores; segregacao,"auth.uid,has_role",SEC-001.k;SEC-002.helpers-01,todas as politicas atuais sao USING(true) permissive
public,solicitacoes_financeiras,4,4,0,0,D,solicitante + aprovador (segregacao),"auth.uid,has_role,current_is_gm",SEC-001.k;SEC-002.helpers-01,todas as politicas atuais sao USING(true) permissive
public,user_empresas,4,0,3,0,B,owner self-read; escrita gm/admin,"auth.uid,current_is_gm",SEC-001.k,auth-only (auth.uid IS NOT NULL) — precisa scope de negocio
public,user_roles,1,0,0,0,B,leitura via has_role SD; escrita gm/service_role,"has_role,current_is_gm",SEC-001.k;SEC-002.helpers-01,auth-only (auth.uid IS NOT NULL) — precisa scope de negocio
public,veiculos,4,4,0,0,C,empresa scope; escrita frota,"user_in_empresa,has_role",SEC-001.k;SEC-002.helpers-01,todas as politicas atuais sao USING(true) permissive
